PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
140,103188912,5865,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C,Unspecified,,,,,Inhibition,=,12.15,%,Average; N=2,
141,103188975,35370,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 23.6 Pct,
142,103188976,71616,C[C@@H](C1=NC=NC=C1F)[C@](CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 23.4 Pct,
143,103189031,5755,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,Unspecified,,,,,Inhibition,=,7.56,%,Average; N=2,
144,103189214,6741,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,Unspecified,,,,,Inhibition,=,7.4,%,Average; N=2,
145,103189247,4205,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,Unspecified,,,,,Inhibition,=,-16.68,%,Average; N=2,Outside typical range
146,103189263,5757,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,Unspecified,,,,,Inhibition,=,2.2,%,Average; N=2,
147,103189284,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,Unspecified,,,,,Inhibition,=,16.72,%,Average; N=2,
148,103189534,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Unspecified,,,,,Inhibition,=,17.23,%,Average; N=2,
149,103189939,3339,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,Unspecified,,,,,Inhibition,=,7.76,%,Average; N=2,
150,103190607,5361,CC1=C(C=C(C=C1)C(=O)NC2=C3C(=CC(=CC3=C(C=C2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)NC(=O)C4=CC(=CC=C4)NC(=O)NC5=CC=CC(=C5)C(=O)NC6=C(C=CC(=C6)C(=O)NC7=C8C(=CC(=CC8=C(C=C7)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)C,Unspecified,,,,,Inhibition,=,23.13,%,Average; N=2,
151,103190627,667484,CCOC(=O)C1=CN=CN1[C@H](C)C2=CC=CC=C2,Unspecified,,,,,Inhibition,=,11.17,%,Average; N=2,
152,103191069,3052,CCN(CC)C(=O)N1CCN(CC1)C,Unspecified,,,,,Inhibition,=,20.12,%,Average; N=2,
153,103191130,4030,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,Unspecified,,,,,Inhibition,=,7.86,%,Average; N=2,
154,103191130,4030,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 11.3 Pct,
155,103191448,4044,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,Unspecified,,,,,Inhibition,=,15.6,%,Average; N=2,
156,103191759,72899,C1=CC=C2C(=C1)C=C(N2)C(=O)O,Unspecified,,,,,Inhibition,=,5.6,%,Average; N=2,
157,103191973,16759173,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)[O-])O)O)O.[Na+],Unspecified,,,,,Inhibition,=,12.65,%,Average; N=2,
158,103192563,5991,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,Unspecified,,,,,Inhibition,=,1.21,%,Average; N=2,
159,103192662,23667628,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-].[Na+],Active,,,,0.625,MIC,=,625,nM,Median N= 2,
160,103194285,4075,C1=CC(=C(C=C1N)C(=O)O)O,Unspecified,,,,,Inhibition,=,-19.58,%,Average; N=2,Outside typical range
161,103194429,3157,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,Unspecified,,,,,Inhibition,=,8.23,%,Average; N=2,
162,103194680,3442,CCCCC1=CN=C(C=C1)C(=O)O,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 5.4 Pct,
163,103194715,2092,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,Unspecified,,,,,Inhibition,=,6,%,Average; N=2,
164,103194727,57363,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C,Unspecified,,,,,Inhibition,=,-0.3,%,Average; N=2,
165,103195019,60825,C1[C@H](O[C@H](S1)CO)N2C=CC(=NC2=O)N,Unspecified,,,,,Inhibition,=,9.88,%,Average; N=2,
166,103195217,135398745,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,Unspecified,,,,,Inhibition,=,9.67,%,Average; N=2,
167,103195448,3408722,CCCCN1CCCC1CNC(=O)C2=C(C3=CC=CC=C3C(=C2)C#N)OC,Unspecified,,,,,Inhibition,=,6.62,%,Average; N=2,
168,103195621,6279,C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C,Unspecified,,,,,Inhibition,=,10.39,%,Average; N=2,
169,103195765,4138,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N,Unspecified,,,,,Inhibition,=,-29.5,%,Average; N=2,Outside typical range
170,103196240,446596,C[C@H]([C@H]1[C@@H](O1)C[C@H]2CO[C@H]([C@@H]([C@@H]2O)O)C/C(=C/C(=O)OCCCCCCCCC(=O)O)/C)[C@H](C)O,Active,,,,0.3125,MIC,=,312.5,nM,Median N= 2; Range 0.625 - 0.3125  Um,
171,103197484,2585,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,Unspecified,,,,,Inhibition,=,10.39,%,Average; N=2,
172,103197783,8421,COC1=C(C=C(C=C1)CCN)OC,Unspecified,,,,,Inhibition,=,8.89,%,Average; N=2,
173,103198688,47528,C1=CC(=CN=C1)C(=O)NCCO[N+](=O)[O-],Unspecified,,,,,Inhibition,=,13.24,%,Average; N=2,
174,103199382,3878,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,Unspecified,,,,,Inhibition,=,8.71,%,Average; N=2,
175,103200075,10046204,CCC1=NOC(=C1)CCCOC2=C(C=C(C=C2C)C3=NOC(=N3)C(F)(F)F)C,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 9.1 Pct,
176,103200240,135445761,C[N+]1=CC=CC=C1/C=N/O.[Cl-],Unspecified,,,,,Inhibition,=,12.69,%,Average; N=2,
177,103200390,1684,CC1=CC(=CC(=C1OCCCC2=CC(=NO2)C)C)C3=NOC(=N3)C(F)(F)F,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 9.4 Pct,
178,103200464,5734,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,Unspecified,,,,,Inhibition,=,1.04,%,Average; N=2,
179,103201179,8974,C1=NC2=C(N=C(N=C2N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)Cl)N,Unspecified,,,,,Inhibition,=,-10.52,%,Average; N=2,Outside typical range
180,103201243,72172,CC(C)C[C@@H](C(=O)O)NC(=O)[C@H]([C@@H](CC1=CC=CC=C1)N)O,Unspecified,,,,,Inhibition,=,8.9,%,Average; N=2,
181,103202029,3651377,CC(C)C1=CC2=C(C=C1)N(C(=C2SC(C)(C)C)CC(C)(C)C(=O)O)CC3=CC=C(C=C3)Cl,Unspecified,,,,,Inhibition,=,10.09,%,Average; N=2,
182,103202464,9904,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@H]34,Unspecified,,,,,Inhibition,=,-0.13,%,Average; N=2,
183,103202970,8369,CC1=C(C(=O)C=CO1)O,Unspecified,,,,,Inhibition,=,14.12,%,Average; N=2,
184,103204039,6234,C1[C@H](C(=O)NO1)N,Unspecified,,,,,Inhibition,=,14.71,%,Average; N=2,
185,103204895,4086,CC(C)NCC(C1=CC(=CC(=C1)O)O)O,Unspecified,,,,,Inhibition,=,-6.69,%,Average; N=2,
186,103204896,7172,CNCC(C1=CC=C(C=C1)O)O,Unspecified,,,,,Inhibition,=,-16.09,%,Average; N=2,Outside typical range
187,103205141,110635,CN1CC(=O)N2[C@@H](C1=O)CC3=C([C@H]2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,Unspecified,,,,,Inhibition,=,6.36,%,Average; N=2,
188,103206765,5505,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,Unspecified,,,,,Inhibition,=,4.92,%,Average; N=2,
189,103206766,5311309,CC(C)C1CCC(CC1)C(=O)N[C@H](CC2=CC=CC=C2)C(=O)O,Unspecified,,,,,Inhibition,=,10.43,%,Average; N=2,
190,103207571,75919,C1=CC=NC(=C1)CCN,Unspecified,,,,,Inhibition,=,1.79,%,Average; N=2,
191,103208053,861,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O,Unspecified,,,,,Inhibition,=,11.14,%,Average; N=2,
192,103209134,2125,CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)I,Unspecified,,,,,Inhibition,=,8.26,%,Average; N=2,
193,103209958,10177,C1=CC=C2C(=C1)C(=C(N2)O)C3=NC4=CC=CC=C4C3=O,Unspecified,,,,,Inhibition,=,2.27,%,Average; N=2,
194,103210760,6253,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,Unspecified,,,,,Inhibition,=,17.83,%,Average; N=2,
195,103211461,3334,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 2.1 Pct,
196,103211583,3397,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,Unspecified,,,,,Inhibition,=,10.52,%,Average; N=2,
197,103212176,27695,CN1C2=CC=CC=C2C=C1C(=O)O,Unspecified,,,,,Inhibition,=,7.02,%,Average; N=2,
198,103213079,5394,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,Unspecified,,,,,Inhibition,=,8.98,%,Average; N=2,
199,103213379,135413497,C1=CC=C(C=C1)C2=C(C(=O)NC(=N2)N)Br,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 14.3 Pct,
200,103213502,7550,C[N+]1=CC=CC(=C1)OC(=O)N(C)C.[Br-],Unspecified,,,,,Inhibition,=,10.54,%,Average; N=2,
201,103213617,5350510,COC1=CC=C(C=C1)C(=O)/C=C/C2=C(C=C(C=C2)OC)OC,Unspecified,,,,,Inhibition,=,6.51,%,Average; N=2,
202,103214865,465951,CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCSCC3)F,Active,,,,5,MIC,=,5000,nM,Median N= 2,
203,103214865,465951,CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCSCC3)F,Active,,,,5,MIC,=,5000,nM,Median N= 2,
204,103215211,135494268,CC(C)(C)C1=CC=CC(=C1O)C2=NC3=C(N2)C=C(C=C3)C(=N)N,Active,,,,10,MIC,=,10000,nM,Median N= 2; Range 20 - 10  Um,
205,103215362,5503,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2,Unspecified,,,,,Inhibition,=,2.29,%,Average; N=2,
206,103215683,6842999,CC1CS(=O)(=O)CCN1/N=C/C2=CC=C(O2)[N+](=O)[O-],Unspecified,,,,,Inhibition,=,33.42,%,Average; N=2,
207,103215824,2478,CS(=O)(=O)OCCCCOS(=O)(=O)C,Unspecified,,,,,Inhibition,=,14.7,%,Average; N=2,
208,103215883,159324,CN1C=NC=C1[C@@](C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N,Unspecified,,,,20,MIC,=,20000,nM,Median N= 2,
209,103216614,7108,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,Unspecified,,,,,Inhibition,=,-22.92,%,Average; N=2,Outside typical range
210,103217286,6135,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2.OP(=O)(O)O.OP(=O)(O)O,Active,,,,10,MIC,=,10000,nM,Median N= 2; Range >10 - 10  Um,
211,103217286,6135,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2.OP(=O)(O)O.OP(=O)(O)O,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 27.9 Pct,
212,103219083,5342,C1=CC=C(C=C1)N2C(=O)C(C(=O)N2C3=CC=CC=C3)CCS(=O)C4=CC=CC=C4,Unspecified,,,,,Inhibition,=,18.52,%,Average; N=2,
213,103221292,2720,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,Unspecified,,,,,Inhibition,=,7.87,%,Average; N=2,
214,103221370,5281055,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3.C(=C\C(=O)O)\C(=O)O,Unspecified,,,,,Inhibition,=,5.02,%,Average; N=2,
215,103221477,2435,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,Unspecified,,,,,Inhibition,=,7.02,%,Average; N=2,
216,103221863,5280453,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,Unspecified,,,,,Inhibition,=,3.12,%,Average; N=2,
217,103222497,40854,COC(=O)NC1=NC2=C(N1)C=C(C=C2)S(=O)C3=CC=CC=C3,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib -15.1 Pct,
218,103222736,5564,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,Active,,,,2.5,MIC,=,2500,nM,Median N= 2; Range 10 - 2.5  Um,
219,103223943,24066,C1C[C@@H](O[C@@H]1CO)N2C=CC(=NC2=O)N,Unspecified,,,,,Inhibition,=,4.24,%,Average; N=2,
220,103223949,3177,CS(=O)(=O)C1=CC=C(C=C1)C2=C(SC(=C2)Br)C3=CC=C(C=C3)F,Unspecified,,,,,Inhibition,=,14.13,%,Average; N=2,
221,103224166,4909,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,Unspecified,,,,,Inhibition,=,13.4,%,Average; N=2,
222,103225393,119607,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N,Unspecified,,,,,Inhibition,=,10.74,%,Average; N=2,
223,103225393,119607,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 13.1 Pct,
224,103225430,15895902,CCC(=O)[N-]S(=O)(=O)C1=CC=C(C=C1)C2=C(ON=C2C3=CC=CC=C3)C.[Na+],Unspecified,,,,,Inhibition,=,0.13,%,Average; N=2,
225,103225961,14052,CC[C@@H](CO)NCCN[C@@H](CC)CO,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 2.4 Pct,
226,103226312,65064,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,Unspecified,,,,,Inhibition,=,13.39,%,Average; N=2,
227,103227500,285033,CC(C)(CCC[C@@](CC(=O)OC)(C(=O)O[C@H]1[C@H]2C3=CC4=C(C=C3CCN5[C@@]2(CCC5)C=C1OC)OCO4)O)O,Unspecified,,,,,Inhibition,=,10.39,%,Average; N=2,
228,103227896,131215,CN1C2=C(C=C(C=C2)OC)C=C1CN(C)CC#C,Unspecified,,,,,Inhibition,=,33.86,%,Average; N=2,
229,103229869,30322,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,Unspecified,,,,,Inhibition,=,15.53,%,Average; N=2,
230,103229901,20443948,CCCCC1=CC=C(C=C1)C2=NC(=CC(=C2)C(=O)O)C3=CC=C(C=C3)Cl,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 48.9 Pct,
231,103230249,4038,CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)[O-])Cl.[Na+],Unspecified,,,,,Inhibition,=,27.36,%,Average; N=2,
232,103230552,5911,C[N+]1(CCN(CC1)C2=CC=CC=C2)C.[I-],Unspecified,,,,,Inhibition,=,11.69,%,Average; N=2,
233,103231964,3324,CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C,Unspecified,,,,,Inhibition,=,12.23,%,Average; N=2,
234,103232794,2392,CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 14.9 Pct,
235,103233114,3194,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 43.7 Pct,
236,103234269,6098,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,Active,,,,1.25,MIC,=,1250,nM,Median N= 2,
237,103234908,4911,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,Unspecified,,,,,Inhibition,=,13.34,%,Average; N=2,
238,103235071,3059,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,Unspecified,,,,,Inhibition,=,-11.25,%,Average; N=2,Outside typical range
239,103235531,135426746,C1=CC=C2C(=C1)[N+](=C(C(=[N+]2[O-])N)C#N)[O-],Unspecified,,,,,MIC,>,32,ug.mL-1,Median N= 2; Maxinhib 65.2 Pct,
240,103235689,5702160,C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N,Unspecified,,,,,Inhibition,=,6.96,%,Average; N=2,
241,103238946,130609,CN1CCC(=CC1)C2=CC=CN2C,Unspecified,,,,,Inhibition,=,10.32,%,Average; N=2,
242,103241293,135480631,C1=CC(=CC(=C1)Cl)C2=C(C(=O)NC(=N2)N)Br,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 13.3 Pct,
243,103241564,467825,C[C@@H](C1=NC(=CS1)C2=CC=C(C=C2)C#N)[C@](CN3C=NC=N3)(C4=C(C=C(C=C4)F)F)O,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 2.8 Pct,
244,103241573,122028,CC1=C(SC(=C1C(=O)C2=CC(=CC=C2)C(F)(F)F)N)C,Unspecified,,,,,Inhibition,=,5.2,%,Average; N=2,
245,103241607,6915944,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\O)/C3=CSC(=N3)N)SC1)C(=O)O,Active,,,,5,MIC,=,5000,nM,Median N= 2,
246,103241627,6604100,C1C(=NC(=O)N1/N=C/C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])[O-].[Na+],Unspecified,,,,,Inhibition,=,4.1,%,Average; N=2,
247,103241784,64715,CC[C@H](C)C(=O)O[C@H]1CCC=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O,Unspecified,,,,,Inhibition,=,-0.69,%,Average; N=2,
248,103242914,3108,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,Unspecified,,,,,Inhibition,=,-23.93,%,Average; N=2,Outside typical range
249,103242969,122724,CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@](CC5)(C)C(=O)O)C)C)C)C)O,Active,,,,2.5,MIC,=,2500,nM,Median N= 2,
250,103243148,4174,CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,Unspecified,,,,,Inhibition,=,4.18,%,Average; N=2,
251,103244854,392622,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,Unspecified,,,,,Inhibition,=,13.2,%,Average; N=2,
252,103245522,5291,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 10.3 Pct,
253,103245538,119570,CCCN[C@H]1CCC2=C(C1)SC(=N2)N,Unspecified,,,,,Inhibition,=,-18.52,%,Average; N=2,Outside typical range
254,103246433,44300725,CCC1=C2C(=CC(=C1)CC3=CN=C(N=C3N)N)C(CCN2C)C,Active,,,,10,MIC,=,10000,nM,Median N= 2,
255,103247685,71768,CC(C)(C)C1CCC(CC1)CC2=C(C3=CC=CC=C3C(=O)C2=O)O,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib -4.4 Pct,
256,103248535,14570151,COC1=CC(=CC(=C1O)CC=C)CC2=CN=C(N=C2N)N,Active,,,,2.5,MIC,=,2500,nM,Median N= 2,
257,103249160,3616,CC(=O)NCCCCCCNC(=O)C,Unspecified,,,,,Inhibition,=,-6.23,%,Average; N=2,
258,103250329,3899,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 5.3 Pct,
259,103250959,3117,CCN(CC)C(=S)SSC(=S)N(CC)CC,Unspecified,,,,10,MIC,>,10000,nM,Median N= 2; Maxinhib 4.3 Pct,
260,103252587,11287987,C1CCC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=C2C1)N,Unspecified,,,,,Inhibition,=,53.1,%,Average; N=2,
261,103252877,23662354,C(CS(=O)(=O)[O-])S.[Na+],Unspecified,,,,,Inhibition,=,2.58,%,Average; N=2,
262,103255183,4891,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2,Unspecified,,,,,Inhibition,=,20.65,%,Average; N=2,
263,103255183,4891,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2,Unspecified,,,,,Inhibition,=,18.11,%,Average; N=2,
264,103255432,16623,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)COC(=O)CCC(=O)O)O)C)O,Unspecified,,,,,Inhibition,=,-27.4,%,Average; N=2,Outside typical range
265,103258293,971932,C1CCC(CC1)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)O,Unspecified,,,,,Inhibition,=,12.87,%,Average; N=2,
266,103258293,971932,C1CCC(CC1)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)O,Unspecified,,,,,Inhibition,=,13.13,%,Average; N=2,
267,103258433,818085,C1=CC=C(C=C1)/C=C(\C(=O)O)/NC(=O)C2=CC=CC=C2,Unspecified,,,,,Inhibition,=,14.68,%,Average; N=2,
268,103259583,445154,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,Unspecified,,,,,Inhibition,=,19.49,%,Average; N=2,
269,103259587,49381,CN1CCN(CC1)C2=NC3=C(CC4=CC=CC=C42)C=CC(=C3)F,Unspecified,,,,,Inhibition,=,14.37,%,Average; N=2,
270,103261079,6215,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@@]53C)F)F)O,Unspecified,,,,,Inhibition,=,-31.13,%,Average; N=2,Outside typical range
271,103262836,18283,CC1=CN(C(=O)NC1=O)[C@H]2C=C[C@H](O2)CO,Unspecified,,,,,Inhibition,=,17.22,%,Average; N=2,
272,103263034,23663407,CC(C1=CC=C(C=C1)CC2CCCC2=O)C(=O)[O-].[Na+],Unspecified,,,,,Inhibition,=,9.06,%,Average; N=2,
273,103265378,11751549,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NN=N[N-]4)CO)Cl.[K+],Unspecified,,,,,Inhibition,=,-19.73,%,Average; N=2,Outside typical range
274,103265388,441199,CO[C@@]1([C@@H]2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)O)NC(=O)CC3=CC=CS3,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 41.1 Pct,
275,103266319,3957,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,Unspecified,,,,,Inhibition,=,11.88,%,Average; N=2,
276,103266652,2678,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,Unspecified,,,,,Inhibition,=,14.64,%,Average; N=2,
277,103267492,2972,CC1=C(C(=O)C=CN1C)O,Unspecified,,,,,Inhibition,=,9.56,%,Average; N=2,
278,103267651,25429,COC(=O)NC1=NC2=CC=CC=C2N1,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 2.6 Pct,
279,103267988,441291,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN.O,Unspecified,,,,,Inhibition,=,16.15,%,Average; N=2,
280,103271997,65999,CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C,Unspecified,,,,,Inhibition,=,33.03,%,Average; N=2,
281,103273905,135415565,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)F)N=C(NC2=O)N,Unspecified,,,,20,MIC,>,20000,nM,Median N= 2; Maxinhib 20.8 Pct,
282,103275884,49659,CS(=O)(=O)O.C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O,Unspecified,,,,,Inhibition,=,13.63,%,Average; N=2,
283,103276037,72344,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,Unspecified,,,,,Inhibition,=,13.24,%,Average; N=2,
284,103276771,2063,COC1=CC=C(C=C1)C=C(C#N)C#N,Unspecified,,,,,Inhibition,=,-5.84,%,Average; N=2,
